set_number,theme,actual_growth,is_avoid,baseline_prob,f2_tuned_prob,baseline_flagged,f2_flagged
41364,Friends,2.62,1,0.9805526372842108,0.9981753751545266,1,1
41365,Friends,4.65,1,0.7166361720052978,0.7335614090740816,1,1
41366,Friends,0.01,1,0.9696246899689421,0.9898025797189414,1,1
41368,Friends,0.01,1,0.9903088485698065,0.9996483037031317,1,1
41369,Friends,2.92,1,0.9847571702366983,0.9989128915580437,1,1
41371,Friends,4.42,1,0.9781308788522505,0.9979103686707322,1,1
41372,Friends,11.86,0,0.05120338644547964,0.004730731498206168,0,0
41373,Friends,0.99,1,0.9963269750111794,0.9999079806513205,1,1
41374,Friends,3.47,1,0.9841117855181167,0.998976848143048,1,1
41375,Friends,2.55,1,0.98459539051354,0.999073343538539,1,1
41367,Friends,3.5,1,0.9642629758217729,0.9975626051983917,1,1
41159,Disney,5.73,0,0.5545285188070511,0.14759420695520742,1,0
41160,Disney,8.53,0,0.07190827783077619,0.004324071495473974,0,0
41161,Disney,10.3,0,0.24919222047246622,0.07918614736664917,0,0
41162,Disney,6.2,0,0.16208194619202002,0.07122965960676213,0,0
41163,Disney,4.21,1,0.040165166837067987,0.012480269767316308,0,0
41164,Disney,5.03,0,0.7241996127144954,0.6920765967240763,1,1
41376,Friends,10.38,0,0.016966191467249123,0.0018546313570884005,0,0
41378,Friends,6.1,0,0.08086447438849098,0.04187440827372702,0,0
41379,Friends,3.98,1,0.9912163682352386,0.9994027903827101,1,1
41380,Friends,6.1,0,0.026333333198827174,0.008862400072594805,0,0
41381,Friends,6.1,0,0.06710157910486572,0.013632433981972163,0,0
41382,Holiday & Event,1.43,1,0.7512212396686689,0.9773093153772673,1,1
41383,Friends,4.06,1,0.8225164514866672,0.9534090903043843,1,1
41384,Friends,5.73,0,0.06893883055115547,0.033649576711288175,0,0
41385,Friends,4.75,1,0.8678669624979678,0.9608664509805372,1,1
41386,Friends,3.54,1,0.8654616279780719,0.9635541881618837,1,1
41387,Friends,5.03,0,0.9089800772522482,0.9131452805820301,1,1
41388,Friends,4.33,1,0.9790083612299985,0.996819561256868,1,1
41634,BrickHeadz,34.4,0,0.06406274670852971,0.0069544275565126676,0,0
41635,BrickHeadz,13.45,0,0.039568801207287084,0.028093166277948816,0,0
41636,BrickHeadz,20.01,0,0.020267069549563078,0.004693688990170523,0,0
41637,BrickHeadz,17.32,0,0.09822940514441197,0.02815022009403604,0,0
42088,Technic,8.25,0,0.07580443161930664,0.027879903197515862,0,0
42089,Technic,10.21,0,0.025637230001080723,0.0320753279124809,0,0
42090,Technic,4.73,1,0.7142854455231604,0.9729352416510054,1,1
42091,Technic,4.78,1,0.6647155041501999,0.9358225395318055,1,1
42092,Technic,9.06,0,0.24347778943222612,0.24664986038745285,0,0
42093,Technic,4.44,1,0.8366314104486576,0.9732683108411343,1,1
42094,Technic,6.21,0,0.7378767717583924,0.9234911794301143,1,1
42095,Technic,11.98,0,0.1756503874975363,0.19279244795364525,0,0
42096,Technic,4.52,1,0.7069966623342511,0.9569266507380387,1,1
42097,Technic,8.11,0,0.5313498139495956,0.3856367232265678,1,1
42098,Technic,10.04,0,0.08067182522463105,0.023787502153227388,0,0
42099,Technic,4.51,1,0.837028994738221,0.9660006918488201,1,1
42100,Technic,12.47,0,0.136021132673143,0.13044178020791167,0,0
42110,Technic,6.52,0,0.18124656001835934,0.20748220190240116,0,0
43172,Disney,1.9,1,0.7623548780054439,0.9649871612851876,1,1
66593,BrickHeadz,24.38,0,0.12608905053959374,0.03796304214568392,0,0
60203,Town,7.45,0,0.038274366960689296,0.007359408290884245,0,0
60206,Town,5.98,0,0.09840217284881603,0.020539980035313928,0,0
66619,City,10.73,0,0.44531683903431224,0.10621522080667611,0,0
66620,Friends,7.02,0,0.11648861863622384,0.02388234532073888,0,0
60225,Town,3.27,1,0.9648023934553923,0.9907937851331937,1,1
60227,Town,3.8,1,0.9693714987296108,0.9973237462422491,1,1
60228,Town,6.98,0,0.5729762664200142,0.4925980038224997,1,1
60229,Town,3.8,1,0.9466312931576246,0.9901953322292734,1,1
60231,Town,5.6,0,0.3881250167104801,0.08314894748010843,0,0
60233,Town,3.7,1,0.943371162127238,0.9836567754467676,1,1
60234,Town,3.03,1,0.9449635649406942,0.9841850749883445,1,1
60236,Town,8.31,0,0.12905009181819402,0.05170829065339053,0,0
60237,Town,1.39,1,0.5883228300190494,0.6681594601199945,1,1
60239,Town,11.52,0,0.07939194396878663,0.005235807850447868,0,0
60240,Town,5.84,0,0.06670136183624074,0.0058371878120510355,0,0
